molecule_chembl_id,,fix_smiles,standard_value,pic50
CHEMBL3128178,,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccnc3)N2)cc1)C1CCc2scnc21,30000,4.522878745
CHEMBL3311308,,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1,100000,4
CHEMBL5084225,,CCN=C(N)NC(=O)Nc1c(CC)cc(NS(=O)(=O)c2ccccc2)cc1CC,30000,4.522878745
CHEMBL3128194,,Nc1nc2c(s1)CCC2C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,5600,5.251811973
CHEMBL3128188,,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccnc3)N2)cc1)C1CCc2ccnn21,30000,4.522878745
CHEMBL105782,,COc1cc(N=C(N)NC(=O)c2ccc(C)cc2)cc(OC)c1OC,24350,4.613501034
CHEMBL5076143,,CCN=C(N)NC(=O)Nc1c(CC)cc(C(=O)NCc2ccccc2)cc1CC,24000,4.619788758
CHEMBL652,,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,6500,5.187086643
CHEMBL631,,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,1190,5.924453039
CHEMBL3658014,,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC23CC4(F)CC(F)(CC(F)(C4)C2)C3)cc1F,430,6.366531544
CHEMBL3662090,,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC23CC4CC(C2)C(F)(F)C(C4)C3)cc1F,130,6.886056648
CHEMBL3657932,,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,26,7.585026652
CHEMBL4087679,,Nc1nccn2c([C@@H]3CCCC(C(=O)O)C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,30000,4.522878745
CHEMBL3662230,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC2CCC(F)(F)CC2)cc1F,940,6.026872146
CHEMBL3658002,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC2(C(F)(F)F)CCCCC2)cc1F,350,6.455931956
CHEMBL3662238,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC2CCCCC2)cc1F,40,7.397940009
CHEMBL3657950,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCC(F)(F)CC2)cc1F,5230,5.281498311
CHEMBL3657967,,COCCS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCCCC2)cc1F,140,6.853871964
CHEMBL3662236,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCCCC2)cc1F,670,6.173925197
CHEMBL209064,,CN(C)C(=O)C(c1ccc(-c2ccc3ncnn3c2)cc1)C(N)C(=O)N1CCC(F)(F)C1,100000,4
CHEMBL210829,,CN(C)C(=O)C(c1ccc(-c2ccn3ncnc3c2)cc1)C(N)C(=O)N1CCC(F)(F)C1,100000,4
CHEMBL2012041,,Cc1ccc(Oc2ccc(Nc3cncc(N)n3)cc2)cc1,410,6.387216143
